date,month,state_code,state_name,year,yyyymm,.geo,precip_mm,t2m_c
1981-03-01,3,675,Mato Grosso,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",351.277388794634,24.47603444184169
1981-03-01,3,676,Mato Grosso Do Sul,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",74.38108820604411,25.543790401352403
1981-03-01,3,677,Minas Gerais,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",212.18937363245504,22.90791006241021
1981-03-01,3,692,Name Unknown,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",,
1981-03-01,3,678,Para,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",218.39251619197267,25.45210017168722
1981-03-01,3,679,Paraiba,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",325.58750206930915,25.17818396557353
1981-03-01,3,680,Parana,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",84.64729597468096,22.186133870991306
1981-03-01,3,681,Pernambuco,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",270.2615086489621,24.90988164187258
1981-03-01,3,682,Piaui,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",316.49315730054565,25.434515541314155
1981-03-01,3,683,Rio De Janeiro,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",154.19339750095884,23.282164922382627
1981-03-01,3,684,Rio Grande Do Norte,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",299.2322701796734,26.04066921732953
1981-03-01,3,685,Rio Grande Do Sul,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",61.59645066125719,21.302847443662746
1981-03-01,3,686,Rondonia,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",313.7588295819844,24.738306116718874
1981-03-01,3,687,Roraima,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",89.97858590386976,25.984314454877044
1981-03-01,3,688,Santa Catarina,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",110.84446393239068,19.96416065508863
1981-03-01,3,689,Sao Paulo,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",94.78275005511432,23.54764511262911
1981-03-01,3,690,Sergipe,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",172.500332383089,25.68489479442785
1981-03-01,3,691,Tocantins,1981,198103,"{""type"":""MultiPoint"",""coordinates"":[]}",351.2499706719797,24.8649448766163
1981-04-01,4,665,Acre,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",179.4072590136723,24.189986259120168
1981-04-01,4,666,Alagoas,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",68.2033892806539,24.42478202786661
1981-04-01,4,667,Amapa,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",300.9752796556426,25.179268275304544
1981-04-01,4,668,Amazonas,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",261.63714097249084,25.136600654032907
1981-04-01,4,669,Bahia,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",69.71469007280817,22.819897468909986
1981-04-01,4,670,Ceara,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",74.74319040873937,25.68119375169227
1981-04-01,4,671,Distrito Federal,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",66.61227212613521,20.723853690400297
1981-04-01,4,672,Espirito Santo,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",80.23800280646456,21.45354141767257
1981-04-01,4,673,Goias,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",56.86450243867988,23.30493902441217
1981-04-01,4,674,Maranhao,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",104.59501434811123,25.90466465324088
1981-04-01,4,675,Mato Grosso,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",109.0027130335183,24.82405812062648
1981-04-01,4,676,Mato Grosso Do Sul,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",77.80327247798424,24.487034925330345
1981-04-01,4,677,Minas Gerais,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",42.00885296913787,20.76547244982622
1981-04-01,4,692,Name Unknown,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",,
1981-04-01,4,678,Para,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",190.1414751279142,25.080416343876188
1981-04-01,4,679,Paraiba,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",52.96865240938239,24.863408240639384
1981-04-01,4,680,Parana,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",150.04525857993127,19.65415296412074
1981-04-01,4,681,Pernambuco,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",59.88045245844535,23.734509989667963
1981-04-01,4,682,Piaui,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",68.89310182090942,25.30342060118968
1981-04-01,4,683,Rio De Janeiro,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",102.85028395122912,20.806478923225647
1981-04-01,4,684,Rio Grande Do Norte,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",57.08864137904829,26.24808122883461
1981-04-01,4,685,Rio Grande Do Sul,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",93.79489347863225,19.155243169290667
1981-04-01,4,686,Rondonia,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",162.07589343599815,24.700572909519988
1981-04-01,4,687,Roraima,1981,198104,"{""type"":""MultiPoint"",""coordinates"":[]}",299.89899956559634,24.640246811355315
