,year,month,spei3,spei6,spei12,date_t
211,1998,8,-0.5037565305846163,-0.8247659685407026,-1.1111943873548644,1998-08-01
212,1998,9,-0.5332364265532882,-0.7636738243882003,-1.1324231069535893,1998-09-01
213,1998,10,0.194449444026448,0.0047926546110615715,-0.8887589576341465,1998-10-01
214,1998,11,0.4631461800596566,0.3298738790068444,-0.5944745965696211,1998-11-01
215,1998,12,0.41113480976576444,0.24378284401407796,-0.38961979120267604,1998-12-01
216,1999,1,0.21796993656276073,0.2190354019437556,-0.30710660956003144,1999-01-01
217,1999,2,0.09294486533571433,0.3401521163468836,-0.23766524114862445,1999-02-01
218,1999,3,0.3883276256342279,0.501851429063798,0.09788163373395357,1999-03-01
219,1999,4,0.3012619175887751,0.26303369975804664,0.17921018932651037,1999-04-01
220,1999,5,0.0826209543057596,0.05714020535365743,0.12287836300057325,1999-05-01
221,1999,6,-0.3496124562513094,0.20793433775891573,0.20972293470155867,1999-06-01
222,1999,7,-0.1330176195786852,0.2085015679636035,0.24477151946492715,1999-07-01
223,1999,8,0.17343231908894036,0.12912218459807032,0.24344800053742877,1999-08-01
224,1999,9,0.3064586094426455,-0.15106930876086921,0.3623705094163476,1999-09-01
225,1999,10,0.2523265742213461,0.1085539565800687,0.23307173470166911,1999-10-01
226,1999,11,0.5693253698433545,0.5489135871992629,0.311100922206741,1999-11-01
227,1999,12,0.26239654723743366,0.346834945206407,0.3495135062942231,1999-12-01
228,2000,1,0.5974487463551134,0.561867749888958,0.4843491001409136,2000-01-01
229,2000,2,0.6674754691888932,0.7660279646757541,0.632629770132475,2000-02-01
230,2000,3,0.7783198673150553,0.7927082193592144,0.6667006838963255,2000-03-01
231,2000,4,0.5100955258900379,0.7205527935677805,0.633476197039792,2000-04-01
232,2000,5,0.1443284617079913,0.5788394300108591,0.6639617210833766,2000-05-01
233,2000,6,-0.4359987574397773,0.5514990474033757,0.6239612615252348,2000-06-01
234,2000,7,0.01856206799152142,0.5125875203771837,0.7032135992932269,2000-07-01
